Postcode 1,Postcode 2,Postcode 3,Date Introduced,User Type,Easting,Northing,Positional Quality,County Code,County Name,Local Authority Code,Local Authority Name,Ward Code,Ward Name,Country Code,Country Name,Region Code,Region Name,Parliamentary Constituency Code,Parliamentary Constituency Name,European Electoral Region Code,European Electoral Region Name,Primary Care Trust Code,Primary Care Trust Name,Lower Super Output Area Code,Lower Super Output Area Name,Middle Super Output Area Code,Middle Super Output Area Name,Output Area Classification Code,Output Area Classification Name,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID
N7  9GY,N7   9GY,N7 9GY,08-2016,0,530072,184198,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000868,,E02000180,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.125743,51.541702,Postcode Level,04/01/2018,"(51.541702, -0.125743)",1000533
N7  9LG,N7   9LG,N7 9LG,01-1980,0,529938,184847,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000869,,E02000180,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.127461,51.547563,Postcode Level,04/01/2018,"(51.547563, -0.127461)",1000557
N7  9LN,N7   9LN,N7 9LN,01-1980,0,529860,184935,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000869,,E02000180,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.128552,51.548372,Postcode Level,04/01/2018,"(51.548372, -0.128552)",1000560
NW3 1NX,NW3  1NX,NW3 1NX,01-1980,0,526938,185643,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000135,Hampstead Town,E92000001,England,E12000007,London,E14000727,Hampstead and Kilburn,E15000007,London,E16000047,Camden,E01000896,,E02000167,,5B1,Urbanites;Ageing urban living;Delayed retirement,-0.170415,51.555399,Postcode Level,04/01/2018,"(51.555399, -0.170415)",1123923
N7  9QE,N7   9QE,N7 9QE,01-1980,0,529973,184736,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000864,,E02000180,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.126997,51.546558,Postcode Level,04/01/2018,"(51.546558, -0.126997)",1000585
N7  9QF,N7   9QF,N7 9QF,01-1980,0,530008,184548,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000864,,E02000180,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.126536,51.544862,Postcode Level,04/01/2018,"(51.544862, -0.126536)",1000586
N7  9QG,N7   9QG,N7 9QG,01-1980,0,530044,184350,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000864,,E02000180,,2D3,Cosmopolitans;Aspiring and affluent;EU white-collar workers,-0.126116,51.543073,Postcode Level,04/01/2018,"(51.543073, -0.126116)",1000587
N7  9QL,N7   9QL,N7 9QL,10-2006,0,529982,184680,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000864,,E02000180,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.126888,51.546052,Postcode Level,04/01/2018,"(51.546052, -0.126888)",1000590
NW1 0AA,NW1  0AA,NW1 0AA,01-1980,0,529135,183622,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000947,,E02000186,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.139484,51.536739,Postcode Level,04/01/2018,"(51.536739, -0.139484)",1116781
NW1 0AB,NW1  0AB,NW1 0AB,01-1980,0,529085,183689,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000947,,E02000186,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.14018,51.537352,Postcode Level,04/01/2018,"(51.537352, -0.14018)",1116782
NW1 0AD,NW1  0AD,NW1 0AD,01-1980,0,529076,183646,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000947,,E02000186,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.140299,51.53697,Postcode Level,04/01/2018,"(51.53697, -0.140299)",1116783
NW1 0AE,NW1  0AE,NW1 0AE,01-1980,0,529063,183708,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.140464,51.53753,Postcode Level,04/01/2018,"(51.53753, -0.140464)",1116784
NW1 0AG,NW1  0AG,NW1 0AG,01-1980,0,529059,183735,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.140537,51.537772,Postcode Level,04/01/2018,"(51.537772, -0.140537)",1116785
NW1 0AP,NW1  0AP,NW1 0AP,01-1980,0,528967,183844,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000863,,E02000186,,2B2,Cosmopolitans;Inner city students;Multicultural student neighbourhood,-0.141823,51.538772,Postcode Level,04/01/2018,"(51.538772, -0.141823)",1116786
NW1 0AS,NW1  0AS,NW1 0AS,01-1980,0,528972,183891,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.141734,51.539193,Postcode Level,04/01/2018,"(51.539193, -0.141734)",1116787
NW1 0AT,NW1  0AT,NW1 0AT,01-1980,0,528971,183893,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.141748,51.539212,Postcode Level,04/01/2018,"(51.539212, -0.141748)",1116788
NW1 0AU,NW1  0AU,NW1 0AU,01-1980,0,528991,183911,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.141427,51.539371,Postcode Level,04/01/2018,"(51.539371, -0.141427)",1116789
NW1 0AX,NW1  0AX,NW1 0AX,01-1980,0,529058,183943,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.140476,51.539641,Postcode Level,04/01/2018,"(51.539641, -0.140476)",1116790
NW1 0AY,NW1  0AY,NW1 0AY,01-1980,0,529071,183919,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.140297,51.539422,Postcode Level,04/01/2018,"(51.539422, -0.140297)",1116791
NW1 0BA,NW1  0BA,NW1 0BA,01-1980,0,529045,183856,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.140669,51.538864,Postcode Level,04/01/2018,"(51.538864, -0.140669)",1116792
NW1 0BD,NW1  0BD,NW1 0BD,01-1980,0,529083,183776,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.140177,51.538135,Postcode Level,04/01/2018,"(51.538135, -0.140177)",1116793
NW1 0BE,NW1  0BE,NW1 0BE,01-1980,0,529097,183737,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.139989,51.537781,Postcode Level,04/01/2018,"(51.537781, -0.139989)",1116794
NW1 0BG,NW1  0BG,NW1 0BG,01-1980,0,529123,183746,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.139611,51.537856,Postcode Level,04/01/2018,"(51.537856, -0.139611)",1116795
NW1 0BH,NW1  0BH,NW1 0BH,04-1985,0,529497,183987,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000957,,E02000184,,2D3,Cosmopolitans;Aspiring and affluent;EU white-collar workers,-0.134133,51.539936,Postcode Level,04/01/2018,"(51.539936, -0.134133)",1116796
NW1 0BJ,NW1  0BJ,NW1 0BJ,01-1980,0,529167,183777,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.138966,51.538124,Postcode Level,04/01/2018,"(51.538124, -0.138966)",1116797
NW1 0BL,NW1  0BL,NW1 0BL,01-1980,0,529155,183726,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.139157,51.537669,Postcode Level,04/01/2018,"(51.537669, -0.139157)",1116798
NW1 0BN,NW1  0BN,NW1 0BN,01-1980,0,529139,183683,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.139404,51.537286,Postcode Level,04/01/2018,"(51.537286, -0.139404)",1116799
NW1 0BP,NW1  0BP,NW1 0BP,01-1980,0,529181,183644,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.138813,51.536926,Postcode Level,04/01/2018,"(51.536926, -0.138813)",1116800
NW1 0BQ,NW1  0BQ,NW1 0BQ,04-1985,0,529514,184010,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000957,,E02000184,,2D3,Cosmopolitans;Aspiring and affluent;EU white-collar workers,-0.13388,51.540139,Postcode Level,04/01/2018,"(51.540139, -0.13388)",1116801
NW1 0BR,NW1  0BR,NW1 0BR,04-1985,0,529539,184015,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000957,,E02000184,,2D3,Cosmopolitans;Aspiring and affluent;EU white-collar workers,-0.133518,51.540178,Postcode Level,04/01/2018,"(51.540178, -0.133518)",1116802
NW1 0BS,NW1  0BS,NW1 0BS,01-1980,0,529192,183603,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.138669,51.536555,Postcode Level,04/01/2018,"(51.536555, -0.138669)",1116803
NW1 0BW,NW1  0BW,NW1 0BW,06-2001,1,529433,182967,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000945,,E02000188,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.13543,51.530784,Postcode Level,04/01/2018,"(51.530784, -0.13543)",1116804
NW1 0BY,NW1  0BY,NW1 0BY,10-1984,0,529342,183948,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.136381,51.539621,Postcode Level,04/01/2018,"(51.539621, -0.136381)",1116805
NW1 0DA,NW1  0DA,NW1 0DA,01-1980,0,529361,183638,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.136221,51.536831,Postcode Level,04/01/2018,"(51.536831, -0.136221)",1116806
NW1 0DB,NW1  0DB,NW1 0DB,01-1980,0,529402,183649,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.135626,51.53692,Postcode Level,04/01/2018,"(51.53692, -0.135626)",1116807
NW1 0DD,NW1  0DD,NW1 0DD,01-1980,0,529424,183613,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.135322,51.536592,Postcode Level,04/01/2018,"(51.536592, -0.135322)",1116808
NW1 0DE,NW1  0DE,NW1 0DE,01-1980,0,529448,183567,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.134994,51.536173,Postcode Level,04/01/2018,"(51.536173, -0.134994)",1116809
NW1 0DG,NW1  0DG,NW1 0DG,01-1980,0,529463,183541,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.134787,51.535936,Postcode Level,04/01/2018,"(51.535936, -0.134787)",1116810
NW1 0DH,NW1  0DH,NW1 0DH,01-1980,0,529407,183707,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.135533,51.53744,Postcode Level,04/01/2018,"(51.53744, -0.135533)",1116811
NW1 0DJ,NW1  0DJ,NW1 0DJ,01-1980,0,529370,183780,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.136039,51.538105,Postcode Level,04/01/2018,"(51.538105, -0.136039)",1116812
NW1 0DL,NW1  0DL,NW1 0DL,01-1980,0,529293,183834,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.137129,51.538608,Postcode Level,04/01/2018,"(51.538608, -0.137129)",1116813
NW1 0DN,NW1  0DN,NW1 0DN,01-1980,0,529340,183865,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.13644,51.538876,Postcode Level,04/01/2018,"(51.538876, -0.13644)",1116814
NW1 0DP,NW1  0DP,NW1 0DP,01-1980,0,529268,183862,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.137453,51.538867,Postcode Level,04/01/2018,"(51.538867, -0.137453)",1116815
NW1 0DQ,NW1  0DQ,NW1 0DQ,08-1993,0,529433,183925,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.135078,51.539394,Postcode Level,04/01/2018,"(51.539394, -0.135078)",1116816
NW1 0DR,NW1  0DR,NW1 0DR,01-1980,0,529346,183766,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.13639,51.537985,Postcode Level,04/01/2018,"(51.537985, -0.13639)",1116817
NW1 0DS,NW1  0DS,NW1 0DS,01-1980,0,529389,183691,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.135798,51.537301,Postcode Level,04/01/2018,"(51.537301, -0.135798)",1116818
NW1 0DT,NW1  0DT,NW1 0DT,01-1980,0,529375,183682,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.136003,51.537223,Postcode Level,04/01/2018,"(51.537223, -0.136003)",1116819
NW1 0DU,NW1  0DU,NW1 0DU,01-1980,0,529300,183766,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.137053,51.537995,Postcode Level,04/01/2018,"(51.537995, -0.137053)",1116820
NW1 0DX,NW1  0DX,NW1 0DX,01-1980,0,529303,183710,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.13703,51.537491,Postcode Level,04/01/2018,"(51.537491, -0.13703)",1116821
NW1 0EA,NW1  0EA,NW1 0EA,01-1980,0,529231,183916,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.137992,51.539359,Postcode Level,04/01/2018,"(51.539359, -0.137992)",1116822
NW1 0EB,NW1  0EB,NW1 0EB,01-1980,0,529233,183947,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.137952,51.539637,Postcode Level,04/01/2018,"(51.539637, -0.137952)",1116823
NW1 9QZ,NW1  9QZ,NW1 9QZ,10-2011,0,529698,184357,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000864,,E02000180,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.1311,51.543215,Postcode Level,04/01/2018,"(51.543215, -0.1311)",1118643
NW1 0EE,NW1  0EE,NW1 0EE,01-1980,0,529197,184007,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.138449,51.540184,Postcode Level,04/01/2018,"(51.540184, -0.138449)",1116824
NW1 0EG,NW1  0EG,NW1 0EG,03-1988,0,529263,183780,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000958,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.137581,51.538129,Postcode Level,04/01/2018,"(51.538129, -0.137581)",1116825
NW1 0EH,NW1  0EH,NW1 0EH,01-1980,0,529210,184032,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000130,Camden Town with Primrose Hill,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000861,,E02000184,,3D1,Ethnicity central;Aspirational techies;New EU tech workers,-0.138253,51.540406,Postcode Level,04/01/2018,"(51.540406, -0.138253)",1116826
NW1 0ER,NW1  0ER,NW1 0ER,01-1980,0,529257,183427,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000947,,E02000186,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.137797,51.534958,Postcode Level,04/01/2018,"(51.534958, -0.137797)",1116827
NW1 0ES,NW1  0ES,NW1 0ES,01-1980,0,529279,183440,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000952,,E02000187,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.137475,51.53507,Postcode Level,04/01/2018,"(51.53507, -0.137475)",1116828
NW1 0ET,NW1  0ET,NW1 0ET,01-1980,0,529298,183451,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000143,St Pancras and Somers Town,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000959,,E02000184,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.137198,51.535165,Postcode Level,04/01/2018,"(51.535165, -0.137198)",1116829
NW1 0EU,NW1  0EU,NW1 0EU,01-1980,0,529229,183439,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000947,,E02000186,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.138196,51.535073,Postcode Level,04/01/2018,"(51.535073, -0.138196)",1116830
NW1 0EX,NW1  0EX,NW1 0EX,01-1980,0,529247,183443,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000947,,E02000186,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.137935,51.535105,Postcode Level,04/01/2018,"(51.535105, -0.137935)",1116831
