,Postcode 1,Longitude,Latitude
,N7 9GY,-0.125743,51.541702
,N7 9LG,-0.127461,51.547563
,N7 9LN,-0.128552,51.548372
,NW3 1NX,-0.170415,51.555399
,N7 9QE,-0.126997,51.546558
,N7 9QF,-0.126536,51.544862
,N7 9QG,-0.126116,51.543073
,N7 9QL,-0.126888,51.546052
,NW1 0AA,-0.139484,51.536739
,NW1 0AB,-0.14018,51.537352
,NW1 0AD,-0.140299,51.53697
,NW1 0AE,-0.140464,51.53753
,NW1 0AG,-0.140537,51.537772
,NW1 0AP,-0.141823,51.538772
,NW1 0AS,-0.141734,51.539193
,NW1 0AT,-0.141748,51.539212
,NW1 0AU,-0.141427,51.539371
,NW1 0AX,-0.140476,51.539641
,NW1 0AY,-0.140297,51.539422
,NW1 0BA,-0.140669,51.538864
,NW1 0BD,-0.140177,51.538135
,NW1 0BE,-0.139989,51.537781
,NW1 0BG,-0.139611,51.537856
,NW1 0BH,-0.134133,51.539936
,NW1 0BJ,-0.138966,51.538124
,NW1 0BL,-0.139157,51.537669
,NW1 0BN,-0.139404,51.537286
,NW1 0BP,-0.138813,51.536926
,NW1 0BQ,-0.13388,51.540139
,NW1 0BR,-0.133518,51.540178
,NW1 0BS,-0.138669,51.536555
,NW1 0BW,-0.13543,51.530784
,NW1 0BY,-0.136381,51.539621
,NW1 0DA,-0.136221,51.536831
,NW1 0DB,-0.135626,51.53692
,NW1 0DD,-0.135322,51.536592
,NW1 0DE,-0.134994,51.536173
,NW1 0DG,-0.134787,51.535936
,NW1 0DH,-0.135533,51.53744
,NW1 0DJ,-0.136039,51.538105
,NW1 0DL,-0.137129,51.538608
,NW1 0DN,-0.13644,51.538876
,NW1 0DP,-0.137453,51.538867
,NW1 0DQ,-0.135078,51.539394
,NW1 0DR,-0.13639,51.537985
,NW1 0DS,-0.135798,51.537301
,NW1 0DT,-0.136003,51.537223
,NW1 0DU,-0.137053,51.537995
,NW1 0DX,-0.13703,51.537491
,NW1 0EA,-0.137992,51.539359
,NW1 0EB,-0.137952,51.539637
,NW1 9QZ,-0.1311,51.543215
,NW1 0EE,-0.138449,51.540184
,NW1 0EG,-0.137581,51.538129
,NW1 0EH,-0.138253,51.540406
,NW1 0ER,-0.137797,51.534958
,NW1 0ES,-0.137475,51.53507
,NW1 0ET,-0.137198,51.535165
,NW1 0EU,-0.138196,51.535073
,NW1 0EX,-0.137935,51.535105
,NW1 0EY,-0.138309,51.535497
,NW1 0GS,-0.13543,51.530784
,NW1 0HA,-0.137621,51.536808
,NW1 0HB,-0.137289,51.537172
,NW1 0HD,-0.138372,51.537135
,NW1 0HE,-0.137864,51.537217
,NW1 0HG,-0.137555,51.537365
,NW1 0HH,-0.138653,51.53731
,NW1 0HJ,-0.138776,51.537816
,NW1 0HL,-0.137673,51.537645
,NW1 0HN,-0.138216,51.538112
,NW1 0HP,-0.13839,51.538448
,NW1 0HR,-0.138976,51.538583
,NW1 0HS,-0.139208,51.539252
,NW1 0HT,-0.140084,51.538987
,NW1 0HU,-0.139917,51.539275
,NW1 0HX,-0.139673,51.539871
,NW1 0HY,-0.139051,51.539924
,NW1 0JA,-0.138393,51.539095
,NW1 0JE,-0.13292,51.540672
,NW1 0JF,-0.1322,51.540652
,NW1 0JG,-0.133938,51.540463
,NW1 0JH,-0.139019,51.5354
,NW1 0JL,-0.139245,51.535881
,NW1 0JN,-0.138807,51.536018
,NW1 0JP,-0.1388,51.535478
,NW1 0JR,-0.139744,51.536374
,NW1 0JS,-0.139455,51.536111
,NW1 0JT,-0.139058,51.53621
,NW1 0JU,-0.138161,51.535935
,NW1 0JW,-0.135267,51.540763
,NW1 0JX,-0.137205,51.535677
,NW1 0JY,-0.137234,51.536029
,NW1 0JZ,-0.132259,51.540284
,NW1 0LA,-0.137663,51.536134
,NW1 0LB,-0.137667,51.536377
,NW1 0LD,-0.136245,51.536588
,NW1 0LE,-0.136149,51.53647
,NW1 0LG,-0.135605,51.536389
,NW1 0LH,-0.135471,51.536126
,NW1 0LJ,-0.135369,51.53581
,NW1 0LL,-0.136177,51.535879
,NW1 0LP,-0.13543,51.530784
,NW1 0LQ,-0.140724,51.537091
,NW1 0LR,-0.13543,51.530784
,NW1 0LT,-0.14032,51.536734
,NW1 0LU,-0.141297,51.537615
,NW1 0LY,-0.138714,51.537932
,NW1 0ND,-0.141406,51.538388
,NW1 0NE,-0.14206,51.538614
,NW1 0NF,-0.131015,51.537557
,NW1 0NG,-0.141799,51.538295
,NW1 0NH,-0.133409,51.53613
,NW1 0NL,-0.13543,51.530784
,NW1 0NS,-0.14215,51.538894
,NW1 0NT,-0.133979,51.539124
,NW1 0NY,-0.134613,51.539476
,NW1 0PA,-0.133054,51.535647
,NW1 0PB,-0.132963,51.536114
,NW1 0PE,-0.131658,51.53665
,NW1 0PT,-0.133379,51.537919
,NW1 0QA,-0.135171,51.538181
,NW1 0QG,-0.133248,51.538654
,NW1 0QH,-0.133456,51.538855
,NW1 0QS,-0.136495,51.540084
,NW1 0QT,-0.135444,51.540326
,NW1 0QW,-0.135318,51.539883
,NW1 0QX,-0.134964,51.539706
,NW1 0QY,-0.135394,51.540478
,NW1 0RA,-0.135621,51.54094
,NW1 0RB,-0.13531,51.541834
,NW1 0RD,-0.135832,51.541762
,NW1 0RE,-0.134847,51.541881
,NW1 0RG,-0.134984,51.542045
,NW1 0RJ,-0.134289,51.542124
,NW1 0RL,-0.135491,51.541999
,NW1 0RP,-0.133995,51.537677
,NW1 0RR,-0.141292,51.537649
,NW1 0RU,-0.133644,51.535684
,NW1 0RW,-0.13391,51.537981
,NW1 0RX,-0.134327,51.53591
,NW1 0RY,-0.13431,51.536306
,NW1 0SA,-0.134474,51.536533
,NW1 0SB,-0.134749,51.53687
,NW1 0SD,-0.135024,51.537189
,NW1 0SE,-0.135632,51.538188
,NW1 0SF,-0.137709,51.54064
,NW1 0SG,-0.13754,51.54064
,NW1 0SN,-0.138264,51.540913
,NW1 0SP,-0.137932,51.541543
,NW1 0SR,-0.137498,51.54159
,NW1 0SS,-0.13621,51.541696
,NW1 0ST,-0.137425,51.541958
,NW1 0SU,-0.137031,51.542059
,NW1 0SX,-0.137518,51.542148
,NW1 0SY,-0.136793,51.542235
,NW1 0TA,-0.13712,51.540586
,NW1 0TB,-0.132265,51.537667
,NW1 0TE,-0.137236,51.541298
,NW1 0TF,-0.13721,51.541291
,NW1 0TH,-0.134883,51.537817
,NW1 0TJ,-0.136875,51.541301
,NW1 0TL,-0.136817,51.54131
,NW1 0TR,-0.136264,51.541427
,NW1 0TS,-0.136651,51.541478
,NW1 0TU,-0.133524,51.536851
,NW1 0TY,-0.136172,51.540859
,NW1 0TZ,-0.13562,51.5413
,NW1 0UP,-0.13543,51.530784
,NW1 0UT,-0.13543,51.530784
,NW1 0WE,-0.13543,51.530784
,NW1 0WS,-0.13543,51.530784
,NW1 0XA,-0.133172,51.539822
,NW1 0XB,-0.134539,51.539889
,NW1 0XD,-0.134265,51.540309
,NW1 0XE,-0.13253,51.539991
,NW1 0XF,-0.131877,51.540089
,NW1 0XG,-0.132019,51.539444
,NW1 0XH,-0.132937,51.539207
,NW1 0XJ,-0.131705,51.539016
,NW1 0XL,-0.131417,51.538661
,NW1 0XN,-0.132384,51.538991
,NW1 0XP,-0.132178,51.538727
,NW1 0XQ,-0.13543,51.530784
,NW1 0XU,-0.13543,51.530784
,NW1 0XW,-0.13543,51.530784
,NW1 0ZB,-0.13543,51.530784
,NW1 1AA,-0.13543,51.530784
,NW1 1AD,-0.131758,51.528568
,NW1 1AE,-0.13543,51.530784
,NW1 1AF,-0.13543,51.530784
,NW1 1AG,-0.13543,51.530784
,NW1 1AH,-0.13543,51.530784
,NW1 1AJ,-0.13543,51.530784
,NW1 1AP,-0.13543,51.530784
,NW1 1AQ,-0.13543,51.530784
,NW1 1AR,-0.13543,51.530784
,NW1 1AS,-0.133823,51.53164
,NW1 1AT,-0.128033,51.531854
,NW1 1AU,-0.13543,51.530784
,NW1 1AW,-0.13543,51.530784
,NW1 1BA,-0.138272,51.533914
,NW1 1BD,-0.137769,51.534248
,NW1 1BE,-0.137757,51.533474
,NW1 1BF,-0.129711,51.53146
,NW1 1BJ,-0.136294,51.532588
,NW1 1BL,-0.135654,51.532002
,NW1 1BN,-0.134741,51.531412
,NW1 1BP,-0.133919,51.530374
,NW1 1BR,-0.131331,51.528066
,NW1 1BS,-0.133919,51.530374
,NW1 1BU,-0.136066,51.531811
,NW1 1BX,-0.133417,51.529943
,NW1 1BY,-0.133218,51.529868
,NW1 1DA,-0.132806,51.529376
,NW1 1DB,-0.131758,51.528568
,NW1 1DD,-0.137162,51.532862
,NW1 1DE,-0.137019,51.532548
,NW1 1DF,-0.12952,51.531187
,NW1 1DG,-0.131524,51.528294
,NW1 1DH,-0.130668,51.527723
,NW1 1DJ,-0.131025,51.527801
,NW1 1DL,-0.134751,51.53116
,NW1 1DN,-0.131139,51.532766
,NW1 1DP,-0.13543,51.530784
,NW1 1DS,-0.13543,51.530784
,NW1 1DT,-0.130894,51.527909
,NW1 1DU,-0.130061,51.529161
,NW1 1EA,-0.13543,51.530784
,NW1 1EB,-0.13543,51.530784
,NW1 1EE,-0.130622,51.532021
,NW1 1EL,-0.130694,51.532364
,NW1 1EN,-0.131041,51.53129
,NW1 1EP,-0.131693,51.531921
,NW1 1ER,-0.131693,51.531921
,NW1 1ES,-0.130773,51.531133
,NW1 1ET,-0.130867,51.530613
,NW1 1EU,-0.131031,51.530822
,NW1 1EX,-0.129944,51.530607
,NW1 1EY,-0.129977,51.531911
,NW1 1EZ,-0.129485,51.529853
,NW1 1FA,-0.13543,51.530784
,NW1 1FB,-0.13543,51.530784
,NW1 1FD,-0.13543,51.530784
,NW1 1FE,-0.13543,51.530784
,NW1 1FF,-0.13543,51.530784
,NW1 1FG,-0.13543,51.530784
,NW1 1FH,-0.13543,51.530784
,NW1 1FJ,-0.13543,51.530784
,NW1 1FL,-0.13543,51.530784
,NW1 1FN,-0.13543,51.530784
,NW1 1FP,-0.13543,51.530784
,NW1 1FQ,-0.13543,51.530784
,NW1 1FS,-0.13543,51.530784
,NW1 1FT,-0.13543,51.530784
,NW1 1FU,-0.13543,51.530784
,NW1 1FW,-0.13543,51.530784
,NW1 1FX,-0.13543,51.530784
,NW1 1FY,-0.13543,51.530784
,NW1 1GA,-0.13543,51.530784
,NW1 1GB,-0.13543,51.530784
,NW1 1GD,-0.13543,51.530784
,NW1 1GE,-0.13543,51.530784
,NW1 1GF,-0.13543,51.530784
,NW1 1GG,-0.13543,51.530784
,NW1 1GH,-0.13543,51.530784
,NW1 1GN,-0.13543,51.530784
,NW1 1GP,-0.13543,51.530784
,NW1 1GQ,-0.13543,51.530784
,NW1 1GR,-0.13543,51.530784
