,Scientific Name,Common Name,Maturity,Pollution Removal Per Year
,Taxus baccata,Yew - common,Middle aged,97.4,-0.146934,51.568625 
,Acer campestre 'Streetwise',Maple - Field,Juvenile,4,-0.149823,51.543154 
,Platanus x hispanica,London plane,Mature,357.1,-0.197982,51.542621  
,Amelanchier lamarckii,June Berry,Juvenile,,-0.153857,51.55479   
,Sorbus,Rowan,Middle aged,12.6,-0.121451,51.521525    
,Acer pseudoplatanus,Sycamore,Mature,514.5,-0.149664,51.550643    
,Prunus avium,"Cherry - Wild Gean",Mature,173,-0.183121,51.539775 
,Alnus incana,Alder - Grey,Middle aged,25.2,-0.133097,51.54741 
,Prunus padus,Cherry - Bird,Middle aged,119.3,-0.150881,51.551303 
,Aesculus indica,Horse chestnut - Indian,Juvenile,11.6,-0.178686,51.560176 
,Tilia europaea,Lime - Common,Mature,390.6,-0.176861,51.553843  
,Fraxinus ornus,Ash - Manna,Middle aged,32.9,-0.132027,51.542843 
,Platanus x hispanica,London plane,Middle aged,258.9,-0.176729,51.543355 
,Ailanthus altissima,Tree of Heaven,Mature,428.2,-0.130985,51.529021  
,Gleditsia triacanthos,Honey Locust,Mature,279,-0.143385,51.569013   
,Acer pseudoplatanus,Sycamore,Middle aged,146.6,-0.182924,51.558708   
,Betula pendula,Birch - Silver,Juvenile,11.8,-0.178137,51.544933  
,Populus alba,Poplar - Silver,Middle aged,,-0.206895,51.553019 
,Tilia europaea,Lime - Common,Middle aged,242.2,-0.137038,51.548615 
,Sorbus aucuparia 'Streetwise',Mountain-ash,Juvenile,3.5,-0.14097,51.55778   
,Ilex aquifolium 'unidentified,Holly,Mature,232.8,-0.142447,51.567815   
,Platanus x hispanica,London plane,Mature,401.9,-0.143638,51.53518  
,Ilex aquifolium,Holly,Middle aged,58.5,-0.14334,51.569554   
,Liquidambar styraciflua,Sweet Gum,Juvenile,9.3,-0.189576,51.560001   
,Betula pendula 'Dalecarlica',Birch - Cut-leaved,Juvenile,,-0.153637,51.545774 
,Taxus baccata,Yew - common,Middle aged,96.8,-0.142725,51.567867 
,Platanus x hispanica,London plane,Mature,225.4,-0.201713,51.54777  
,Sambucus nigra,Elder,Middle aged,,-0.162379,51.552207   
,Tilia europaea,Lime - Common,Juvenile,4.5,-0.129456,51.525005  
,Prunus kanzan,Cherry - Double pint,Middle aged,3.5,-0.151862,51.5533
,Malus unidentified species,Apple,Juvenile,1,-0.148189,51.551522   
,Platanus x hispanica,London plane,Mature,357.1,-0.146953,51.563002  
,Platanus x hispanica,London plane,Mature,605,-0.134717,51.527537  
,Prunus 'Accolade',Cherry,Middle aged,41.8,-0.205531,51.553881   
,Fraxinus oxycarpa 'Raywood',Ash - Narrow-leafed,Mature,216.9,-0.142799,51.565412 
,Corporate Landlord,Sambucus nigra,22,3.6,185563,-0.197928   
,Prunus 'Accolade',Cherry,Middle aged,92.7,-0.193569,51.549114   
,Betula pendula,Birch - Silver,Middle aged,120,-0.136698,51.545675 
,Acer platanoides,Maple - Norway,Over Mature,,-0.143074,51.555237 
,Acer pseudoplatanus,Sycamore,Middle aged,294.3,-0.144861,51.567922   
,Tilia cordata,Lime - Small-leaved,Middle aged,80.2,-0.173899,51.550864 
,Liquidambar styraciflua,Sweet Gum,Juvenile,9.3,-0.186726,51.554791   
,Prunus cerasifera,Plum,Mature,157.7,-0.137546,51.536955    
,Crataegus monogyna,Hawthorn - Common,Middle aged,,-0.161263,51.543201 
,Sorbus aucuparia 'Streetwise',Mountain-ash,Juvenile,11.6,-0.198111,51.557806   
,Acer unidentified Species,Maple,Middle aged,307.6,-0.115345,51.526867  
,Acer platanoides,Maple - Norway,Not Applicable,,-0.149568,51.552343 
,Crataegus monogyna,Hawthorn - Common,Over Mature,3.4,-0.196577,51.54961 
,Quercus robur,"Oak - Common Pedunculate",Middle aged,86.8,-0.18005,51.555997
,Acer platanoides 'Unknown vari,Maple - Norway,Middle
,Platanus x hispanica,London plane,Mature,1302.3,-0.138444,51.543166  
,Tilia europaea,Lime - Common,Middle aged,297.6,-0.115423,51.524656 
,Fraxinus excelsior,Ash,Middle aged,350.6,-0.131789,51.546336   
,Pyrus calleryana 'Chanticclere,Pear - Chanticclere,Mature,,-0.17609,51.555719 
,Sorbus x thuringiaca,Whitebeam,Mature,85.9,-0.122412,51.515995   
,Sorbus aucuparia,"Rowan Mountain Ash",Middle aged,,-0.142698,51.540371 
,Fraxinus excelsior,Ash,Mature,339.7,-0.134378,51.535815    
,Corporate Landlord,Ilex aquifolium 'unidentified,26,,186099,-0.183578  
,Prunus avium 'Plena',Cherry - Double white,Juvenile,47.5,-0.131117,51.532018
,Platanus x hispanica,London plane,Mature,823.5,-0.134412,51.533732  
,Platanus x hispanica,London plane,Mature,302.7,-0.195015,51.545878  
,Amelanchier lamarckii 'Robin H,June berry,Juvenile,2.6,-0.135342,51.553952 
,Betula pendula 'Dalecarlica',Birch - Cut-leaved,Juvenile,29.6,-0.134558,51.531696 
,Platanus x hispanica,London plane,Mature,294.6,-0.130076,51.536506  
,Betula pendula,Birch - Silver,Middle aged,11.8,-0.165793,51.549727 
,Amelanchier lamarckii,June Berry,Middle aged,21.5,-0.133227,51.5425  
,Betula utilis Edinburgh,Birch - Silver,Juvenile,,-0.132819,51.532196 
,Prunus unidentified species,Cherry,Middle aged,25.2,-0.198136,51.547274  
,Prunus avium 'Plena',Cherry - Double white,Middle
,Salix caprea,Willow - Goat,Mature,66.6,-0.148064,51.551621  
,Catalpa bignonioides,Indian Bean Tree,Mature,136.9,-0.11698,51.516705  
,Malus Tschonoskii,Apple - Crab,Middle aged,162.7,-0.131683,51.548763 
,Ilex aquifolium,Holly,Juvenile,21.9,-0.137457,51.553974    
,"Acer platanoides ""Prin. Gold""",Maple - Norway,Juvenile,15.9,-0.127483,51.545942
